text,correct_alternative,incorrect_alternative1,incorrect_alternative2
Qual destes atores interpretou Sheldon Cooper na televisão?,Jim Parsons,Ed Helms,Sacha Baron Cohen
A sitcom Friends possui quantas temporadas?,10,11,12
Qual foi o primeiro filme animado produzido pela Pixar?,Toy Story,Vida de Inseto,Monstros S.A.
Em que ano a rede social Orkut foi extinta?,2014,2013,2010
A fabricante de brinquedos LEGO tem origem em qual país?,Dinamarca,Estados Unidos,Alemanha
"""Ácido desoxirribonucleico"" também pode ser chamado de...",DNA,Vinagre,Carboidrato
Qual é o símbolo do ouro na tabela periódica?,Au,Ou,Go
"Em O Senhor dos Aneis, quantos aneis foram dados aos Reis-Elfos?",3,7,9
"Quem é o autor do livro ""Sapiens: Uma breve história da humanidade""?",Yuval Noah Harari,Jared Diamond,Neil deGrasse Tyson
Ryu e Ken são personagens de qual jogo?,Street Fighter,Mortal Kombat,Tekken
Em qual país nasceu Pablo Picasso?,Espanha,França,Portugal
Beirute é a capital de qual país?,Líbano,Síria,Israel
"Quantos anos durou a Guerra das Rosas, iniciada em 1455?",30,20,18
Qual dessas músicas não foi gravada pelos Beatles?,A Matter of Feeling,All You Need Is Love,Oh! Darling
Morten Harket é o vocalista de qual banda?,A-ha,The Police,Foreigner
As olimpíadas de inverno ocorrem a cada quantos anos?,4,2,6
"Na física, Cinemática é o estudo do quê?",Movimento,Luz,Calor
Qual é o endereço do detetive Sherlock Holmes?,221B Baker Street,221A Baker Street,221C Baker Street
"Além de Steve Jobs, quem mais fundou a empresa Apple?",Steve Wozniak,Larry Page,Satya Nadella
Em qual estado do Brasil nasceu a apresentadora Xuxa?,Rio Grande do Sul,Rio de Janeiro,São Paulo
Qual é o nome dado ao estado da água em forma de gelo?,Sólido,Vaporoso,Líquido
Quem proclamou a república no Brasil em 1889?,Marechal Deodoro,Duque de Caxias,Marechal Rondon
Qual é o signo do zodíaco de quem nasce no dia do ano-novo?,Capricórnio,Aquário,Peixes
Quem fundou a fábrica de automóveis Ford?,Henry Ford,Harrison Ford,Gerald Ford
Quando é comemorado o dia da independência do Brasil?,7 de setembro,21 de abril,12 de outubro
Quantos signos formam o zodíaco?,12,9,10
Vatapá é uma comida típica de qual estado?,Bahia,Ceará,Rio Grande do Norte
Qual é o fundador da Microsoft?,Bill Gates,Steve Jobs,Mark Zuckerberg
Qual é o nome dado ao pneu reserva do carro?,Estepe,Calota,Macaco
"Edinho, filho de Pelé, jogou no Santos em que posição?",Goleiro,Zagueiro,Atacante
Como se chama o lugar onde se guarda vinhos?,Adega,Sala,Sótão
Qual cantor ficou conhecido como “o rei do rock”?,Elvis Presley,Freddie Mercury,John Lennon
Quem é o inimigo do Piu-Piu nos desenhos animados?,Frajola,Mingau,Tom
Qual é a duração de cada tempo de uma partida de futebol?,45 minutos,90 minutos,30 minutos
Qual era o código da identidade secreta de James Bond?,007,707,907
"Qual foi o placar no final da Copa de 98, quando o Brasil perdeu para a França?",3 x 0,2 x 0,4 x 0
Qual estação do ano sucede o verão?,Outono,Primavera,Inverno
Quantos jogadores um jogo de vôlei reúne na quadra?,12,6,10
Qual é o país do tango?,Argentina,Uruguai,Colômbia
"Como é chamado quem nasce em Milão, na Itália?",Milanês,Milanense,Milanista
Em qual estádio Pelé marcou seu milésimo gol?,Maracanã,Morumbi,Pacaembu
O que é um oboé?,Instrumento Musical,Comida,Ferramenta
Peroba é uma espécie de?,Árvore,Animal,Verdura
O Coliseu é um monumento histórico de que cidade européia?,Roma,Berlim,Atenas
"Que rio corta a cidade de Londres, na Inglaterra?",Tâmisa,Mar Vermelho,Sena
Qual é a raça do personagem principal do filme “Beethoven”?,São Bernardo,Pastor Alemão,Golden Retriever
De quantos em quantos anos aparece o cometa Halley?,76 anos,57 anos,64 anos
Que atriz protagonizou o filme “Titanic”?,Kate Winslet,Cameron Diaz,Bridget Fonda
Como é chamada a doença que causa perda desigual da melanina?,Vitiligo,Astigmatismo,Tendinite
Em qual país está localizado o “Muro das lamentações”?,Israel,Alemanha,China
Qual desses países não fica na Ásia?,Egito,Tailândia,Paquistão
Onde foi conduzida a vitória das forças aliadas na Segunda Guerra Mundial?,Normandia,Moscou,Berlim
"Onde nasceu Van Gogh, o grande pintor impressionista?",Holanda,França,Bélgica
Qual é a primeira letra do alfabeto grego?,Alfa,Delta,Beta
Qual presidente brasileiro instituiu o AI-5?,Costa e Silva,Ernesto Geisel,João Figueiredo
Qual desses quatro pesos é o mais leve?,10 gramas,10 quilos,10 libras
Brahma é um deus de qual religião?,Hinduísmo,Budismo,Islamismo
"Após o fim da segunda guerra mundial, onde foram julgados os líderes nazistas?",Nurembergue,Paris,Munique
Qual foi o último presidente militar do Brasil?,João Figueiredo,Tancredo Neves,João Goulart
Que conflito ideológico envolveu os EUA e a União Soviética?,Guerra Fria,Guerra do Vietnã,Guerra da Coreia
O deltóide é um músculo que está situado em qual parte do corpo?,Ombro,Pescoço,Braço
Qual tripulante da Apollo 11 não pousou na lua?,Michael Collins,Neil Armstrong,Buzz Aldrin
Qual destes personagens de quadrinhos não foi criado por Stan Lee?,Wolverine,Magneto,Professor Xavier
Qual rio separa Manhattan de Nova Jérsei?,Rio Hudson,Rio Mississipi,Rio Delaware
"Na mitologia grega, o Cérbero é um cão de quantas cabeças?",3,5,7
A ferrovia Transiberiana percorre qual país?,Rússia,Cazaquistão,Mongólia
Quem escreveu a música I Will Always Love You?,Dolly Parton,Whitney Houston,Stevie Wonder
"Hit nos anos 80, ""Every Breath You Take"" foi lançado por qual banda?",The Police,Journey,Aerosmith
Vacinas salvam vidas. Em que ano a primeira vacina foi inventada?,1796,1826,1856
"Em Star Wars, quantos sóis iluminam o planeta Tatooine?",2,1,3
Qual fruta envenenada foi dada à Branca de Neve?,Maçã,Banana,Maracujá
Quantos são os protagonistas da série Friends?,6,5,7
Como se chamam os dois melhores amigos de Harry Potter?,Rony e Hermione,Neville e Gina,Tiago e Lílian
Qual é o nome de nascença da cantora Anitta?,Larissa,Natália,Jéssica
Quais são as cores da bandeira da Itália?,"Verde, branco, vermelho","Azul, branco, vermelho","Verde, branco, laranja"
O Marrocos faz parte de qual continente?,África,Ásia,Europa
Quantas patas tem uma aranha?,8,6,10
Qual é o elemento representado pelo símbolo Ag na tabela periódica?,Prata,Alumínio,Platina
Em que ano ocorreu o acidente nuclear de Chernobil?,1986,1989,1984
Quantos quilômetros possui uma maratona?,42,46,32
O personagem Conde Drácula nasceu em qual país?,Romênia,Alemanha,Suíça
John Green escreveu qual destes livros?,A Culpa é das Estrelas,Crepúsculo,Jogos Vorazes
Em que ano foi implementado o Plano Real?,1994,1992,1996
Em qual país está localizado o monumento pré-histórico Stonehenge?,Inglaterra,Dinamarca,França
Quantas vezes Ayrton Senna foi campeão de Fórmula 1?,3,4,5
Tim Berners-Lee é reconhecido como o inventor de quê?,A web,O telefone celular,O Bluetooth
Em que ano morreu Charles Darwin?,1882,1858,1902
Qual é o nome do martelo do Thor?,Mjolnir,Heimdall,Bifrost
"""Longhorn"" era o codinome de qual versão do Windows?",Windows Vista,Windows 7,Windows XP
Um número de cartão de crédito possui quantos dígitos?,16,12,20
Quantos meses do ano possuem 31 dias?,7,6,5
Uma polegada equivale a quantos centímetros?,"2,54","1,44","2,24"
Qual destas redes sociais foi lançada em 2010?,Instagram,Facebook,Twitter
"""Musa acuminata"" é o nome científico de qual planta?",Bananeira,Pé de feijão,Macieira
Qual é a fórmula molecular do ozônio?,O₃,CH₃Cl,H₂O₂
Onde a veia jugular está localizada?,Pescoço,Braços,Pernas
"O que significa ""defenestrar""?",Jogar pela janela,Ensurdecer-se,Não autorizar
Qual personagem é interpretada por Winona Ryder em Stranger Things?,Joyce Byers,Nancy Wheeler,Barbara Holland
Um contador Geiger é utilizado para medir o nível de quê?,Radiação ionizante,Glicose no sangue,Pureza da água
Uma resma de papel possui quantas folhas?,500,250,1000
"Shape of You, hit de Ed Sheeran em 2017, faz parte de qual álbum?",÷,+,x
Quem interpretou o par romântico de Tobey Maguire em Spider-Man?,Kirsten Dunst,Zendaya,Emma Stone
Qual destes mascotes não possui um bigode?,Bunny (Duracell),Mr. Monopoly,Julius Pringles
Jundiaí é um municipio de qual estado?,São Paulo,Rio de Janeiro,Minas Gerais
"Websites terminados em "".gr"" pertencem a qual país?",Grécia,Groenlândia,Granada
Qual o nome do foguete que levou à lua os astronautas da Apollo 11?,Saturn V,Jupiter V,Neptune V
Em que ano estreou a primeira temporada de Black Mirror?,2011,2010,2012
Dachshund é um raça de…,Cachorro,Gato,Hamster
"Na bolsa de valores brasileira, qual sigla representa ações da Petrobras?",PETR4,PTBR4,PBRA4
Kuala Lumpur é a capital de qual país?,Malásia,Sri Lanka,Papua-Nova Guiné
Quando foi lançada a primeira versão do Adobe Photoshop?,1990,1996,2006
"Qual foi o valor do primeiro salário mínimo em Reais, em 1994?","R$64,79","R$32,48","R$128,93"
"Além dos bastonetes, os olhos humanos possuem células chamadas de…",Cones,Cubos,Cilindros
A ONG Médicos sem Fronteiras é sediada em qual país?,Suíça,França,Estados Unidos
Qual letra grega aparece ao lado do 'W' no logotipo da Wikipédia?,Ω (Ômega),Ф (Fi),μ (Mi)
Qual destas constantes matemáticas possui o menor valor numérico?,Ф (Proporção áurea),e (Número de Euler),π (Pi)
Em que ano foi fundada a Microsoft?,1975,1972,1978
Qual marca produz o Bis?,Lacta,Nestlé,Arcor
Qual é o nome do sistema desenvolvido para evitar a colisão de aviões no ar?,TCAS,DRS,AVOID
"O sufixo ""-séptico"" na palavra ""antisséptico"" possui qual origem?",Grego,Latim,Indígena
"O sucesso ""Rolling in the Deep"", de Adele, foi lançado em qual álbum?",21,19,25
"""Aspirina"" é o nome comercial de qual medicamento?",Ácido acetilsalicílico,Ácido ascórbico,Ácido fólico
Qual dessas empresas desenvolveu o avião de grande porte A380?,Airbus,Boeing,Embraer
"Em inglês, como se chama as recargas de lapiseira?",Pencil lead,Pencil graphite,Pencil stick
"Num carro, a injeção eletrônica substitui o...",Carburador,Câmbio manual,Radiador
"Quem deu voz a Overjoyed, música lançada em 1985?",Stevie Wonder,Lionel Ritchie,Marvin Gaye
"No hino nacional, o que significa (margens) ""plácidas""?",Tranquilas,Largas,Cristalinas
Qual destes formatos de papel possui maior área?,Ofício,A4,Carta
Medicamentos anti-histamínicos são geralmente usados para tratar o quê?,Alergias,Enjôos,Gases intestinais
Quantos membros possui o grupo de k-pop BTS?,7,5,6
Qual destes não é um tipo de maçã?,Prata,Gala,Fuji
Qual era o nome da organização de serviços secretos da antiga União Soviética?,KGB,KLB,RGB
Como se chama a primeira parte do intestino delgado?,Duodeno,Jejuno,Íleo
Quem fez o gol do título da Espanha na final da Copa do Mundo de 2010?,Andrés Iniesta,Xavi,Puyol
"Em janeiro de 2022, quantos espectadores levaram Casimiro ao recorde na Twich Brasil?",545 mil,557 mil,521 mil
Qual foi o ano da realização do primeiro Rock in Rio no Brasil?,1985,1982,1984
Robusta e Arábica são variedades de qual cultivo?,Café,Canela,Cana-de-açúcar
"Quem interpretou a protagonista Maya, em Caminho das Índias?",Juliana Paes,Ísis Valverde,Dira Paes
Qual a função principal do Microsoft Outlook?,Cliente de E-mail,Criação de planilhas,Edição de fotos
Onde está localizado o oceano Ártico?,Hemisfério Norte,Hemisfério Sul,Na linha do equador
Qual destas frequências de celular possui maior comprimento de onda?,700 MHz,1800 MHz,2600 MHz
O número 60 possui quantos divisores?,12,8,16
Quando se iniciou o reinado da Rainha Elizabeth II?,1952,1950,1948
"O SR-71, avião mais rápido do mundo, teve seu voo inaugural em qual ano?",1964,1984,2004
"Katakana, Hiragana, e Kanji são formas de escrita de qual linguagem?",Japonês,Coreano,Mandarim
Quantos deputados compõem o congresso brasileiro?,513,613,713
Durante quantos dias é celebrado o Chanucá—O Festival das Luzes judaico?,8,6,7
"Qual é o menor estado brasileiro, em relação a sua área?",Sergipe,Espírito Santo,Alagoas
Qual destas revoluções se iniciou em 1789?,Revolução Francesa,Revolução Inglesa,Revolução Industrial
Qual Estado Nacional foi o pioneiro na expansão marítima e comercial atlântica?,Portugal,Espanha,Inglaterra
Quais foram as colônias de exploração na América Inglesa?,Colônias do Sul,Colônias do Norte,Colônias Centrais
Em qual destes países iniciou-se o Renascimento?,Itália,Portugal,Espanha
Quem deu início à Reforma Protestante?,Martinho Lutero,Thomas Hobbes,João Calvino
"Em que ano foi publicado o Manifesto Comunista, de Marx e Engels?",1848,1850,1832
"Em 1733, qual produto os americanos jogaram ao mar em forma de protesto?",Chá,Açúcar,Páprica
"Onde ocorreu a primeira derrota de Napoleão Bonaparte, em 1814?",Leipzig,Moscou,Kiev
Quem foi o primeiro presidente dos Estados Unidos da América?,George Washington,Thomas Jefferson,John Adams
"No século XIX, qual mercadoria os ingleses comercializavam ilegalmente na China?",Ópio,Máquinas e aparelhos elétricos,Bebidas alcoólicas
Quais são as principais potências que formavam a Tríplice Aliança?,"Alemanha, Áustria-Hungria e Itália","Inglaterra, França e Rússia","Alemanha, Rússia e Itália"
"Qual destes conflitos também é chamado de ""A Grande Guerra""",Primeira Guerra Mundial,Segunda Guerra Mundial,Guerra do Paraguai
Em que país a crise de 1929 teve seu foco inicial?,EUA,Alemanha,Japão
Onde ocorreu o período conhecido como “Bélle Époque”?,Na França,Na Itália,Na Grécia
Em qual ano o partido fascista de Hitler ascendeu ao poder?,1933,1945,1940
"Durante a Guerra Fria, quais foram os principais representantes do bloco capitalista e socialista, respectivamente?",EUA e URSS,EUA e Alemanha,Inglaterra e URSS
Onde aconteceu o ataque de Pearl Harbor?,Havaí,Japão,"Washington, D.C."
"Em que ano aconteceu a Revolução Cubana, liderada por Fidel Castro?",1959,1960,1961
A abolição da escravatura no Brasil foi no ano:,1888,1892,1868
“Tiradentes” é o apelido de:,Joaquim José da Silva Xavier,Joaquim Xavier da Silva,Joaquim José Xavier da Silva
A Política do Café-com-Leite foi um acordo entre quais estados?,São Paulo e Minas Gerais,São Paulo e Rio de Janeiro,Rio de Janeiro e Minas Gerais
A Revolta da Vacina ocorreu no Brasil em:,1904,1902,1900
A mistura das cores subtrativas amarelo e ciano resultam em qual cor?,Verde,Laranja,Vermelho
Como se chama o movimento de contração do coração?,Sístole,Diástole,Bombeamento
Do que se alimentam os animais sapróvoros?,Plantas e animais mortos,Dejetos humanos,Pequenos insetos
"O que é uma ""quilha""?",Uma peça de um navio,Uma peça de roupa,Uma comida típica
Em qual ano Michael Schumacher conquistou seu último título de Fórmula 1?,2004,2002,2006
A série de jogos Wolfenstein é baseada em qual conflito histórico?,Segunda Guerra Mundial,Primeira Guerra Mundial,Guerra Fria
"Qual é o título do primeiro romance de Sherlock Holmes, publicado em 1887?",Um Estudo em Vermelho,O Signo dos Quatro,O Cão dos Baskervilles
"Em qual edição dos jogos olímpicos Nadia Comăneci conquistou ""o dez perfeito""?",Montreal 1976,Moscou 1980,Los Angeles 1984
Em que ano foi iniciada a montagem da estação espacial Mir?,1986,1980,1983
"Em 2013, Anderson Silva fraturou sua perna na disputa contra qual lutador?",Chris Weidman,Chael Sonnen,Vitor Belfort
"Em 2016, a rede social LinkedIn foi adquirida por qual empresa?",Microsoft,Alphabet (Google),Meta (Facebook)
Qual dessas alternativas não é um Pokémon?,Hekaton,Feebas,Delibird
"O que significa ""mtDNA""?",DNA mitocondrial,Multi DNA,Meta-DNA
Qual é o nome do ex-marido de Dona Hermínia em Minha Mãe é uma Peça?,Carlos Alberto,João Carlos,Carlos Eduardo
Qual destas cobras não é venenosa?,Caninana,Surucucu pico-de-jaca,Jararaca
Qual destas doenças não é transmitida pelo mosquito?,Doença de Chagas,Malária,Febre amarela
Lentes divergentes são indicadas para corrigir qual condição?,Miopia,Hipermetropia,Astigmatismo
"Como se classifica a tonicidade silábica da palavra ""Álcool""?",Proparoxítona,Oxítona,Paroxítona
Onde nasceu Ivete Sangalo?,"Juazeiro, BA","Salvador, BA","Itabuna, BA"
Taenia solium e Taenia saginata são parasitas também conhecidos como...,Solitária,Lombriga,Oxiúro
A Bundesliga é a liga profissional de futebol de qual país?,Alemanha,França,Inglaterra
"Quem escreveu a Ilíada, um dos principais poemas épicos da Grécia Antiga?",Homero,Tucídides,Dionísio
Qual destas estrelas se encontra mais próxima do nosso sistema solar?,Proxima Centauri,Sirius A,Betelgeuse
Qual é a cor do cabelo da personagem Marge Simpson?,Azul,Rosa,Verde
Qual era o nome completo de Luís de Camões?,Luís Vaz de Camões,Luís Silva de Camões,Luís Gomes de Camões
"""Poliestireno"" é um plástico também conhecido como...",Isopor,Vinil,Acrílico
Qual é o estado dos EUA de maior área?,Alasca,Texas,Califórnia
Qual esporte é praticado no Torneio de Wimbledon?,Tênis,Ciclismo,Natação
Quantas cores estão presentes na bandeira do Brasil?,4,5,6
"Haley, Alex, e Luke são personagens de qual série americana?",Modern Family,The Big Bang Theory,Brooklyn 99
Curling é um esporte praticado em qual superfície?,Gelo,Grama,Areia
O jogo Counter-Strike: Global Offensive foi publicado por qual estúdio?,Valve Corporation,EA Games,Ubisoft
Qual país produziu a primeira versão do reality show Big Brother?,Holanda,Estados Unidos,Portugal
Stefani Germanotta é o nome real de qual artista?,Lady Gaga,Gwen Stefani,Cher
"Qual destes é conhecido como ""colesterol bom""?",HDL,LDL,VLDL
"Destruído em 2020, onde ficava localizado o Radiotelescópio de Arecibo?",Porto Rico,Peru,Guatemala
Qual destes personagens foi interpretado por Paul Bettany nos filmes da Marvel?,Visão,Gavião Arqueiro,Homem-Formiga
Um ânion é um íon de carga…,Negativa,Positiva,Neutra
A família do Real já abrangeu moedas de quantos valores diferentes?,6,5,7
"Em 2013, qual destes jornais foi comprado por Jeff Bezos, fundador da Amazon?",The Washington Post,The New York Times,The Wall Street Journal
Quantos anos dura o mandato de um senador no Brasil?,8,6,4
Coulomb é uma unidade de medida de qual grandeza?,Carga elétrica,Claridade,Dureza
Qual desses títulos não pertence a Daenerys Targaryen?,Nascida do Sol,Khaleesi dos Dothraki,Não Queimada
Qual escola de samba é conhecida pelo símbolo da águia?,Portela,Salgueiro,Mangueira
Quantos pares de cromossomos existem no DNA humano?,23,22,21
O médico nefrologista é especialista em qual parte do corpo?,Rins,Nervos,Tireóide
Qual destas atrizes brasileiras já foi indicada ao Óscar?,Fernanda Montenegro,Marieta Severo,Patrícia Pillar
Qual ator interpreta o personagem Tufão em Avenida Brasil?,Murilo Benício,Miguel Falabella,Alexandre Borges
"Além de laranja e verde, quais cores compunham o logotipo do Windows XP?",Azul e Amarelo,Azul e Vermelho,Vermelho e Amarelo
"Helvetica, Garamond, e Avenir são nomes do quê?",Fontes (tipográficas),Modelos de carro,Digimons
Onde nasceu o velocista Usain Bolt?,Jamaica,África do Sul,Quênia
Qual personagem teve a primeira fala em Star Wars: Uma Nova Esperança (1977)?,C-3PO,Princesa Leia,Luke Skywalker
Qual é o nome do diretor de Bastardos Inglórios?,Quentin Tarantino,Christopher Nolan,Martin Scorsese
"Ao final de The Office, quem permaneceu CEO da Dunder Mifflin?",David Wallace,Charles Miner,Andy Bernard
O estado cuja capital é Teresina fica em qual região do Brasil?,Nordeste,Norte,Centro-oeste
Como se chama o caranguejo personagem de A Pequena Sereia?,Sebastião,Sabidão,Benjamin
"A campanha ""Pôneis Malditos"", veiculada em 2011, promovia qual produto?",Uma picape,Uma bebida,Um brinquedo
Qual destes não é o nome de um ônibus espacial?,Ascender,Endeavour,Atlantis
Qual país é conhecido por ter formato de uma bota?,Itália,Grécia,Egito
"Em Breaking Bad, Walter White dava aulas de qual matéria?",Química,Física,Geografia
Qual é o nome da residência oficial do vice-presidente da república no Brasil?,Palácio do Jaburu,Palácio da Alvorada,Palácio do Planalto
Como se chama o filme que conta a história do matemático John Nash?,Uma Mente Brilhante,A Teoria de Tudo,Gênio Indomável
Qual ator interpretou James Bond em mais filmes?,Roger Moore,Daniel Craig,Pierce Brosnan
"Qual era o nome do polvo que ""previa"" os vencedores dos jogos da Copa de 2010?",Paul,James,Will
"Complete: ""A Volta ao mundo em (?) dias"", aventura escrito por Júlio Verne.",80,90,100
"Com 4.660 km de extensão, qual é a maior rodovia do Brasil?",BR-116,BR-101,BR-364
Qual foi o último filme produzido por Stanley Kubrick?,De Olhos Bem Fechados,O Iluminado,Laranja Mecânica
"Qual é o nome do protagonista de Matrix, conhecido como Neo?",Thomas Anderson,William Anderson,Thomas Jones
Quantos ministros constituem o Supremo Tribunal Federal?,11,13,9
"Onde nasceu Marie Curie, a primeira mulher a receber um prêmio Nobel?",Polônia,França,Alemanha
Qual foi a primeira série original lançada pela Netflix?,House of Cards,Orange Is the New Black,Sense8
Quantos livros compõem o Novo Testamento da Bíblia cristã?,27,21,15
Qual desses artistas não foi um técnico na 1ª temporada do The Voice Brasil?,Michel Teló,Carlinhos Brown,Daniel
Qual destes não é um sistema de escrita da direita para esquerda?,Grego,Hebraico,Árabe
"Europa, Ganímedes, e Calisto são luas de qual planeta do sistema solar?",Júpiter,Saturno,Marte
Qual país é hoje a antiga Pérsia?,Irã,Egito,Tunísia
Como se chama o personagem interpretado por Tom Cruise em Missão: Impossível?,Ethan Hunt,Jack Reacher,Benji Dunn
Quantos motores possui o Boeing 747?,4,2,1
Qual destes líquidos é o menos denso a 25°C?,Etanol,Água,Óleo de cozinha
"Quem deu voz pela primeira vez, em 1975, a ""Não Deixe o Samba Morrer""?",Alcione,Beth Carvalho,Maria Rita
O que faz uma prensa francesa?,Faz café,Imprime textos,Espreme frutas
Quantos graus equivalem a uma meia-volta?,180,90,360
O menor ponteiro em um relógio indica o quê?,As horas,Os minutos,Os segundos
Em qual lado da rua dirigem os ingleses?,Esquerdo,Direito,Na calçada
Qual é o nome do personagem boneco de neve em Frozen?,Olaf,Sven,Kristoff
"Qual artista compôs ""Circle of Life"" para o filme O Rei Leão?",Elton John,Phil Collins,Michael Jackson
Qual é o maior país do mundo em área?,Rússia,China,Canadá
Qual é o menor estado brasileiro em área?,Sergipe,Amapá,Piauí
Qual é a capital do Chile?,Santiago,Buenos Aires,Lima
Qual é o menor continente do mundo?,Oceania,África,Ásia
Quantos dias tem uma semana?,7,8,9
"Em ordem alfabética, qual o terceiro planeta do sistema solar?",Mercúrio,Netuno,Marte
Quem pintou o quadro A Noite Estrelada?,Vincent van Gogh,Pablo Picasso,Salvador Dali
Qual é a capital da França?,Paris,Londres,Roma
Quem escreveu o livro 'Dom Quixote'?,Miguel de Cervantes,William Shakespeare,Charles Dickens
Quem foi o primeiro homem a pisar na Lua?,Neil Armstrong,John Glenn,Buzz Aldrin
Qual é o maior oceano do mundo?,Oceano Pacífico,Oceano Atlântico,Oceano Índico
Quem foi o fundador do budismo?,Siddhartha Gautama,Jesus Cristo,Maomé
Quem é o autor de 'Guerra e Paz'?,Liev Tolstoy,Fiódor Dostoiévski,Anton Tchekhov
Qual é a capital da Austrália?,Camberra,Sydney,Melbourne
Quem escreveu a 'Odisseia'?,Homero,Platão,Sócrates
Qual é o maior animal do mundo?,Baleia-azul,Elefante-africano,Rinoceronte-branco
Quem foi o primeiro presidente dos Estados Unidos?,George Washington,Thomas Jefferson,John Adams
Qual é a capital da Itália?,Roma,Veneza,Milão
Qual é a capital da China?,Pequim,Xangai,Hong Kong
Quem foi o primeiro homem a orbitar a Terra?,Yuri Gagarin,Neil Armstrong,John Glenn
Qual é a maior montanha do mundo?,Everest,K2,Kangchenjunga
Quem é o autor de 'Hamlet'?,William Shakespeare,J.R.R. Tolkien,Charles Dickens
Quem foi o primeiro-ministro britânico durante a Segunda Guerra Mundial?,Winston Churchill,Margaret Thatcher,Tony Blair
Qual é a capital da Rússia?,Moscou,São Petersburgo,Kazan
Qual é o principal gás responsável pelo efeito estufa?,Dióxido de carbono,Hélio,Oxigênio
Quem foi o primeiro homem a chegar ao pólo Sul?,Roald Amundsen,Ernest Shackleton,Robert Falcon Scott
Quem é o autor de 'O Pequeno Príncipe'?,Antoine de Saint-Exupéry,Jules Verne,Victor Hugo
Qual é a capital do Canadá?,Ottawa,Toronto,Vancouver
Quem foi o fundador da Microsoft?,Bill Gates,Steve Jobs,Mark Zuckerberg
Qual é a velocidade da luz?,299.792.458 m/s,1.299.792.458 km/s,299.792.458 km/h
Quem foi o primeiro imperador do Brasil?,Dom Pedro I,Dom Pedro II,Dom João VI
Qual é a capital da Alemanha?,Berlim,Munique,Colônia
Quem foi o diretor de 'O Poderoso Chefão'?,Francis Ford Coppola,Martin Scorsese,Quentin Tarantino
Quem foi o diretor de 'Titanic'?,James Cameron,Steven Spielberg,Christopher Nolan
Quem foi o diretor de 'A Lista de Schindler'?,Steven Spielberg,Quentin Tarantino,Francis Ford Coppola
Qual é a tecnologia utilizada em discos rígidos?,Magnética,Óptica,Holográfica
Quem foi o diretor da trilogia de filmes 'O Senhor dos Anéis'?,Peter Jackson,Steven Spielberg,Christopher Nolan
